#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
47        	5         	ok              	8.3890000000e-03	2.9000000000e+02	4.3834375929e+17	2.0952144154e+17	5.6554804958e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	5         	ok              	7.5770000000e-03	2.9000000000e+02	3.9591384937e+17	1.8924114466e+17	5.6554645208e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	5         	ok              	6.8440000000e-03	2.9000000000e+02	3.5761185397e+17	1.7093393085e+17	5.6554449691e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	5         	ok              	6.1830000000e-03	2.9000000000e+02	3.2307199770e+17	1.5442496996e+17	5.6554210778e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	5         	ok              	5.5850000000e-03	2.9000000000e+02	2.9182399570e+17	1.3948948039e+17	5.6553917978e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	5         	ok              	5.0440000000e-03	2.9000000000e+02	2.6355432285e+17	1.2597760772e+17	5.6553559081e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	5         	ok              	4.5570000000e-03	2.9000000000e+02	2.3810621717e+17	1.1381442473e+17	5.6553121644e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	5         	ok              	4.1160000000e-03	2.9000000000e+02	2.1506164162e+17	1.0280012557e+17	5.6552585625e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	5         	ok              	3.7180000000e-03	2.9000000000e+02	1.9426383167e+17	9.2859783006e+16	5.6551931239e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	5         	ok              	3.3580000000e-03	2.9000000000e+02	1.7545151053e+17	8.3868518380e+16	5.6551131028e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	5         	ok              	3.0330000000e-03	2.9000000000e+02	1.5846791174e+17	7.5751404480e+16	5.6550155063e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	5         	ok              	2.7400000000e-03	2.9000000000e+02	1.4315626899e+17	6.8433514104e+16	5.6548968020e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	5         	ok              	2.4750000000e-03	2.9000000000e+02	1.2930755573e+17	6.1814944309e+16	5.6547521537e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	5         	ok              	2.2360000000e-03	2.9000000000e+02	1.1681726124e+17	5.5845743626e+16	5.6545766615e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	5         	ok              	2.0190000000e-03	2.9000000000e+02	1.0547635118e+17	5.0426009115e+16	5.6543625850e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	5         	ok              	1.8240000000e-03	2.9000000000e+02	9.5284838780e+16	4.5555740776e+16	5.6541046838e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	5         	ok              	1.6480000000e-03	2.9000000000e+02	8.6085952599e+16	4.1160011403e+16	5.6537937028e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
