# WL(nm)	 Flux(ergs/cm**2/s/nm)
42.800000	 2.49E+01
42.900000	 2.49E+01
43.000000	 2.49E+01
43.100000	 2.49E+01
43.200000	 2.49E+01
43.300000	 2.49E+01
43.400000	 2.49E+01
43.500000	 2.49E+01
43.600000	 2.49E+01
43.700000	 2.49E+01
43.800000	 2.49E+01
43.900000	 2.49E+01
44.000000	 2.49E+01
44.100000	 2.49E+01
44.200000	 2.49E+01
44.300000	 2.49E+01
44.400000	 2.49E+01
44.500000	 2.49E+01
44.600000	 2.49E+01
44.700000	 2.49E+01
44.800000	 2.49E+01
44.900000	 2.49E+01
45.000000	 2.49E+01
45.100000	 2.49E+01
45.200000	 2.49E+01
45.300000	 2.49E+01
45.400000	 2.49E+01
45.500000	 2.49E+01
45.600000	 2.49E+01
45.700000	 2.49E+01
45.800000	 2.49E+01
45.900000	 2.49E+01
46.000000	 2.49E+01
46.100000	 2.49E+01
46.200000	 2.49E+01
46.300000	 2.49E+01
46.400000	 2.49E+01
46.500000	 2.49E+01
46.600000	 2.49E+01
46.700000	 2.49E+01
46.800000	 2.49E+01
46.900000	 2.49E+01
47.000000	 2.49E+01
47.100000	 2.49E+01
47.200000	 2.49E+01
47.300000	 2.49E+01
47.400000	 2.49E+01
47.500000	 2.49E+01
47.600000	 2.49E+01
47.700000	 2.49E+01
47.800000	 2.49E+01
47.900000	 2.49E+01
48.000000	 2.49E+01
48.100000	 2.49E+01
48.200000	 2.49E+01
48.300000	 2.49E+01
48.400000	 2.49E+01
48.500000	 2.49E+01
48.600000	 2.49E+01
48.700000	 2.49E+01
48.800000	 2.49E+01
48.900000	 2.49E+01
49.000000	 2.49E+01
49.100000	 2.49E+01
49.200000	 2.49E+01
49.300000	 2.49E+01
49.400000	 2.49E+01
49.500000	 2.49E+01
49.600000	 2.49E+01
49.700000	 2.49E+01
49.800000	 2.49E+01
49.900000	 2.49E+01
50.000000	 3.40E+01
50.100000	 4.32E+01
50.200000	 4.32E+01
50.300000	 4.32E+01
50.400000	 4.32E+01
50.500000	 4.32E+01
50.600000	 4.32E+01
50.700000	 4.32E+01
50.800000	 4.32E+01
50.900000	 4.32E+01
51.000000	 4.32E+01
51.100000	 4.32E+01
51.200000	 4.32E+01
51.300000	 4.32E+01
51.400000	 4.32E+01
51.500000	 4.32E+01
51.600000	 4.32E+01
51.700000	 4.32E+01
51.800000	 4.32E+01
51.900000	 4.32E+01
52.000000	 4.32E+01
52.100000	 4.32E+01
52.200000	 4.32E+01
52.300000	 4.32E+01
52.400000	 4.32E+01
52.500000	 4.32E+01
52.600000	 4.32E+01
52.700000	 4.32E+01
52.800000	 4.32E+01
52.900000	 4.32E+01
53.000000	 4.32E+01
53.100000	 4.32E+01
53.200000	 4.32E+01
53.300000	 4.32E+01
53.400000	 4.32E+01
53.500000	 4.32E+01
53.600000	 4.32E+01
53.700000	 4.32E+01
53.800000	 4.32E+01
53.900000	 4.32E+01
54.000000	 4.32E+01
54.100000	 4.32E+01
54.200000	 4.32E+01
54.300000	 4.32E+01
54.400000	 4.32E+01
54.500000	 4.32E+01
54.600000	 4.32E+01
54.700000	 4.32E+01
54.800000	 4.32E+01
54.900000	 4.32E+01
55.000000	 4.32E+01
55.100000	 4.32E+01
55.200000	 4.32E+01
55.300000	 4.32E+01
55.400000	 4.32E+01
55.500000	 4.32E+01
55.600000	 4.32E+01
55.700000	 4.32E+01
55.800000	 4.32E+01
55.900000	 4.32E+01
56.000000	 4.32E+01
56.100000	 4.32E+01
56.200000	 4.32E+01
56.300000	 4.32E+01
56.400000	 4.32E+01
56.500000	 4.32E+01
56.600000	 4.32E+01
56.700000	 4.32E+01
56.800000	 4.32E+01
56.900000	 4.32E+01
57.000000	 4.32E+01
57.100000	 4.32E+01
57.200000	 4.32E+01
57.300000	 4.32E+01
57.400000	 4.32E+01
57.500000	 4.32E+01
57.600000	 4.32E+01
57.700000	 4.32E+01
57.800000	 4.32E+01
57.900000	 4.32E+01
58.000000	 4.32E+01
58.100000	 4.32E+01
58.200000	 4.32E+01
58.300000	 4.32E+01
58.400000	 4.32E+01
58.500000	 4.32E+01
58.600000	 4.32E+01
58.700000	 4.32E+01
58.800000	 4.32E+01
58.900000	 4.32E+01
59.000000	 4.32E+01
59.100000	 4.32E+01
59.200000	 4.32E+01
59.300000	 4.32E+01
59.400000	 4.32E+01
59.500000	 4.32E+01
59.600000	 4.32E+01
59.700000	 4.32E+01
59.800000	 4.32E+01
59.900000	 4.32E+01
60.000000	 5.09E+01
60.100000	 5.86E+01
60.200000	 5.86E+01
60.300000	 5.86E+01
60.400000	 5.86E+01
60.500000	 5.86E+01
60.600000	 5.86E+01
60.700000	 5.86E+01
60.800000	 5.86E+01
60.900000	 5.86E+01
61.000000	 5.86E+01
61.100000	 5.86E+01
61.200000	 5.86E+01
61.300000	 5.86E+01
61.400000	 5.86E+01
61.500000	 5.86E+01
61.600000	 5.86E+01
61.700000	 5.86E+01
61.800000	 5.86E+01
61.900000	 5.86E+01
62.000000	 5.86E+01
62.100000	 5.86E+01
62.200000	 5.86E+01
62.300000	 5.86E+01
62.400000	 5.86E+01
62.500000	 5.86E+01
62.600000	 5.86E+01
62.700000	 5.86E+01
62.800000	 5.86E+01
62.900000	 5.86E+01
63.000000	 5.86E+01
63.100000	 5.86E+01
63.200000	 5.86E+01
63.300000	 5.86E+01
