# WL(nm)	 Flux(ergs/cm**2/s/nm)
33.449944	 5.31E+03
33.549944	 5.31E+03
33.649944	 5.31E+03
33.749944	 5.31E+03
33.849944	 5.31E+03
33.949944	 5.31E+03
34.049944	 5.31E+03
34.149944	 5.31E+03
34.249944	 5.31E+03
34.349944	 5.31E+03
34.449944	 5.31E+03
34.549944	 5.31E+03
34.649944	 5.31E+03
34.749944	 5.31E+03
34.849944	 5.31E+03
34.949944	 5.31E+03
35.049944	 5.31E+03
35.149944	 5.31E+03
35.249944	 5.31E+03
35.349944	 5.31E+03
35.449944	 5.31E+03
35.549944	 5.31E+03
35.649944	 5.31E+03
35.749944	 5.31E+03
35.849944	 5.31E+03
35.949944	 5.31E+03
36.049944	 5.31E+03
36.149944	 5.31E+03
36.249944	 5.31E+03
36.349944	 5.31E+03
36.449944	 5.31E+03
36.549944	 5.31E+03
36.649944	 5.31E+03
36.749944	 5.31E+03
36.849944	 5.31E+03
36.949944	 5.31E+03
37.049944	 5.31E+03
37.149944	 5.31E+03
37.249944	 5.31E+03
37.349944	 5.31E+03
37.449944	 5.31E+03
37.549944	 5.31E+03
37.649944	 5.31E+03
37.749944	 5.31E+03
37.849944	 5.31E+03
37.949944	 5.31E+03
38.049944	 5.31E+03
38.149944	 5.31E+03
38.249944	 5.31E+03
38.349944	 5.31E+03
38.449944	 5.31E+03
38.549944	 5.31E+03
38.649944	 5.31E+03
38.749944	 5.31E+03
38.849944	 5.31E+03
38.949944	 5.31E+03
39.049944	 5.31E+03
39.149944	 5.31E+03
39.249944	 5.31E+03
39.349944	 5.31E+03
39.449944	 5.31E+03
39.549944	 5.31E+03
39.649944	 5.31E+03
39.749944	 5.31E+03
39.849944	 5.31E+03
39.949944	 5.31E+03
40.049944	 1.07E+02
40.149944	 1.04E+02
40.249944	 1.04E+02
40.349944	 1.04E+02
40.449944	 1.04E+02
40.549944	 1.04E+02
40.649944	 1.04E+02
40.749944	 1.04E+02
40.849944	 1.04E+02
40.949944	 1.04E+02
41.049944	 1.04E+02
41.149944	 1.04E+02
41.249944	 1.04E+02
41.349944	 1.04E+02
41.449944	 1.04E+02
41.549944	 1.04E+02
41.649944	 1.04E+02
41.749944	 1.04E+02
41.849944	 1.04E+02
41.949944	 1.04E+02
42.049944	 1.04E+02
42.149944	 1.04E+02
42.249944	 1.04E+02
42.349944	 1.04E+02
42.449944	 1.04E+02
