# ERROR | PUMAS | Information for layer 1 is missing. Reduce the number of layers or add this information.
# WARNING | GENERATOR | Too many electrons per pixel (up to 8.34e+04) detected in the 1.00-2.35 um spectral range. Reduce exposure time per frame to less than 35.965 seconds.
# ------------------------------------------------------------------------
# Radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2018, 2022)
# Synthesized on Thu Mar 27 10:41:43 2025
# Doppler velocities [km/s] (vobs,vrot+vorb,vwidth,vrfl,vstr): 29.00000,-0.00000,0.03000,0.00000,-0.00000
# Spectral unit: Wavelength [um]
# Radiance unit: Contrast [transit atmospheric thickness, km]
# Wave/freq Total Noise Stellar Object Reflected Thermal Transit
1.026260000e+00 -1.8112362e-11  5.96492e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.026640096e+00  2.9658992e-10  5.97621e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.027020333e+00 -1.9470789e-10  5.96653e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.027400711e+00 -7.2449446e-11  5.95533e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.027781230e+00  0.0000000e+00  5.94238e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.028161890e+00 -1.5848316e-11  5.93451e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.028542691e+00  2.2640452e-12  5.93419e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.028923632e+00  2.9432588e-10  5.95736e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.029304715e+00  3.3281464e-10  5.95264e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.029685939e+00 -2.8979779e-10  5.93010e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.030067304e+00 -1.0867417e-10  5.92078e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.030448811e+00 -2.0602811e-10  5.93038e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.030830458e+00 -1.5169103e-10  5.91730e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.031212247e+00  3.1696633e-11  5.92549e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.031594178e+00 -1.8112362e-11  5.91164e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.031976250e+00  2.9658992e-10  5.90299e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.032358463e+00  1.7206744e-10  5.89822e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.032740818e+00  8.6033718e-11  5.91722e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.033123315e+00 -2.2414047e-10  5.94431e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.033505953e+00  2.4225284e-10  5.89719e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.033888733e+00 -2.3093261e-10  5.90676e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.034271655e+00  8.8297763e-11  5.92886e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.034654718e+00 -1.9244384e-10  6.45905e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.035037924e+00  1.7885957e-10  5.99876e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.035421271e+00 -1.8112362e-10  5.91250e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.035804761e+00 -4.5280904e-12  5.87775e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.036188392e+00  2.8526970e-10  5.90006e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.036572165e+00  1.0641012e-10  5.87945e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.036956081e+00 -4.3016859e-11  5.87785e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.037340139e+00  2.4904497e-10  5.87006e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.037724339e+00 -1.5848316e-11  5.87650e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.038108681e+00 -1.3131462e-10  5.90456e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.038493166e+00  2.6489329e-10  5.88538e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.038877793e+00  1.9697193e-10  5.86837e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.039262563e+00  2.7847756e-10  5.87934e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.039647475e+00  9.7353944e-11  5.86961e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.040032529e+00 -3.1696633e-11  6.17090e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.040417727e+00 -2.9432588e-11  5.86200e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.040803066e+00 -2.0376407e-11  5.86821e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.041188549e+00 -3.3507869e-10  5.85669e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.041574174e+00 -1.9923598e-10  5.86503e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.041959943e+00  7.2449446e-11  5.85729e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.042345854e+00  3.3734273e-10  5.85242e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.042731908e+00  9.2825853e-11  5.90668e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.043118105e+00 -2.2640452e-12  5.85877e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
